InteractionNumber,ElapsedTime,SplitTime,missCount
0,1.065258
11.11194,-0.07595563,0.001924641,-0.03509585,359.7518,174.5715,3.127674
11.22348,-0.09113238,0.002203561,-0.04016466,359.952,173.1781,1.695689
11.32362,-0.1011076,0.002063674,-0.04231622,0.3000675,173.5174,0.6372363
0.0624733,-0.0789629,0.002271667,-0.04005904,359.2369,169.6975,1.712743
0.1625671,-0.08263337,0.002274527,-0.04008272,359.1177,172.4211,1.637208
0.2657948,-0.08503773,0.002415991,-0.03983865,359.0378,174.2924,2.074909
0.3751011,-0.08678269,0.002326284,-0.03923728,359.0938,175.5763,2.390203
0.4755459,-0.08772662,0.002512533,-0.03929587,359.025,176.1538,2.470309
0.5784798,-0.08874168,0.001770189,-0.03974925,359.4137,176.7635,2.376156
0.06295204,-0.0790277,-0.00391502,-0.07178344,1.770106,184.9417,3.485613
0.1634855,-0.08986855,-0.00784241,-0.07293817,3.559576,190.329,3.160148
0.2638502,-0.1012359,-0.01811919,-0.07430473,8.932727,196.6588,2.666539
0.3757839,-0.126474,-0.03047302,-0.06815495,14.54102,213.1898,4.86537
0.4765015,-0.1534161,-0.03465291,-0.05271826,14.94122,235.4195,9.541512
0.5891399,-0.1655493,-0.03525864,-0.04598025,14.43663,245.2199,10.73071
0.6896381,-0.1714498,-0.03120954,-0.04849774,12.94457,247.0036,9.331088
0.8022203,-0.177317,-0.02819477,-0.0511822,10.98751,248.9715,10.13348
0.9032726,-0.1791196,-0.02401836,-0.06081881,8.655295,244.7167,9.197677
1.015158,-0.1795126,-0.02115025,-0.07039711,7.092902,239.4514,7.934479
1.127834,-0.1779401,-0.02479101,-0.08074951,9.205532,234.1753,7.005989
1.228104,-0.1770857,-0.03534567,-0.08917487,14.03742,230.9476,6.880363
1.328378,-0.1695709,-0.04134119,-0.1023836,17.4328,224.2031,7.182374
1.428883,-0.1551505,-0.04407479,-0.1174482,18.49755,213.5327,5.237993
1.528936,-0.1432173,-0.05742184,-0.1254145,24.6928,206.4878,4.500266
1.629349,-0.1394339,-0.07378145,-0.1301074,31.2921,204.3914,4.334496
1.729524,-0.1418839,-0.09574452,-0.1267795,41.01083,206.7115,7.019709
1.830102,-0.1457452,-0.1051643,-0.1280501,44.7144,207.7584,6.528046
1.942854,-0.152294,-0.09769122,-0.1286934,41.51558,210.6297,7.173404
2.04315,-0.1598303,-0.09086017,-0.1232117,38.28154,215.626,9.071809
2.143394,-0.1692584,-0.08472034,-0.1139964,35.11132,221.8306,11.27689
2.255801,-0.1721647,-0.08229039,-0.1044832,34.52382,223.1648,10.45971
2.356103,-0.1654193,-0.08747331,-0.102355,37.31745,217.7233,8.691866
2.456257,-0.151033,-0.09406354,-0.1061688,40.35958,206.0037,4.662664
2.556951,-0.1326392,-0.09822696,-0.1105475,41.46361,190.9857,358.1154
2.657327,-0.1142543,-0.09997138,-0.1118638,41.19833,176.6583,352.4329
2.757409,-0.1029226,-0.1024216,-0.1090909,41.78936,168.5695,348.6371
2.869804,-0.09879472,-0.1108061,-0.1040824,44.85626,165.7046,347.1681
2.970304,-0.1045768,-0.1182879,-0.09945535,48.18752,170.0845,350.6371
3.070669,-0.1111916,-0.1083434,-0.09833359,45.76035,177.5537,357.9029
3.17124,-0.0995262,-0.08662079,-0.09780464,37.38177,172.3232,359.0994
3.284122,-0.07404674,-0.06140525,-0.09223007,26.77608,158.9575,357.77
3.396726,-0.04719584,-0.04409361,-0.07654043,18.77207,143.2233,359.393
3.500897,-0.02451773,-0.03711195,-0.05405052,14.95503,126.2621,357.8439
3.609636,-0.008322012,-0.03372648,-0.03155698,12.48791,111.5716,355.7498
3.722118,0.00222589,-0.02423957,-0.006369002,6.068453,97.78457,355.3907
3.822883,0.005443505,-0.0200927,0.01738736,2.950713,86.32849,355.7065
3.935234,0.005738617,-0.03527113,0.03798034,10.13119,76.40578,353.5271
4.035434,0.007848638,-0.05220576,0.04581013,16.70345,73.93095,351.5771
4.148732,0.01009951,-0.06780384,0.04310968,23.00892,76.57594,348.0296
4.260957,0.006342823,-0.08402105,0.01508814,31.27437,95.46771,344.5349
4.36169,-0.01165885,-0.09157469,-0.01615989,35.64021,120.5947,348.94
4.462325,-0.04265562,-0.09157348,-0.03957758,36.63994,148.1753,355.785
4.573865,-0.08324236,-0.08672695,-0.04487296,34.91347,178.355,3.735814
4.674533,-0.1123731,-0.07991669,-0.03573747,31.0936,200.7912,9.421334
4.787368,-0.1348389,-0.06920717,-0.01711169,25.58421,220.4783,14.15614
4.888688,-0.1444708,-0.06287095,-6.670319E-05,22.3798,233.2032,16.20775
5.000632,-0.1450995,-0.05948842,0.01231194,20.5922,239.7117,16.00925
5.112556,-0.1408481,-0.06217715,0.01284312,21.81775,238.57,15.29863
5.212739,-0.1364576,-0.06449589,0.006577501,22.68321,233.1178,13.29641
5.312999,-0.1333654,-0.06211915,-0.000993209,21.07578,226.8378,10.41716
5.414025,-0.1315802,-0.05915572,-0.00691554,19.4414,222.4602,8.043347
5.526879,-0.1200605,-0.05761271,-0.01884458,19.36282,212.8555,7.327288
5.627479,-0.1017182,-0.06026939,-0.03257486,20.64854,199.9393,4.630356
5.739606,-0.09213236,-0.0511167,-0.04313423,16.18542,192.2237,2.138772
5.840354,-0.09940562,-0.04462414,-0.04414911,14.07243,195.4705,2.361845
5.952231,-0.1144418,-0.03118167,-0.04281459,7.835779,204.1436,3.627746
6.053014,-0.1239168,-0.02156097,-0.0391813,3.293232,211.469,4.190639
