time,phase,posX,posY,posZ,rotX,rotY,rotZ
18.36975,0,-1.354784,1.477744,-4.949995,-0.9277039,-25.66608,-0.4188538
18.38556,0,-1.354305,1.478739,-4.955978,-0.7601624,-26.08463,-0.3421936
18.40076,0,-1.353512,1.480469,-4.967976,-0.5605469,-26.83151,-0.2174072
18.41589,0,-1.353078,1.48143,-4.974226,-0.6184387,-27.21829,-0.03344727
18.43097,0,-1.352684,1.482517,-4.980528,-0.6603088,-27.56055,0.2132063
18.4469,0,-1.35171,1.484567,-4.993168,-0.6888733,-28.25778,0.5444687
18.46191,0,-1.350989,1.485564,-4.999471,-0.8023376,-28.53116,0.7559686
18.47821,0,-1.350429,1.486462,-5.005723,-0.9483032,-28.81186,0.9362027
18.49219,0,-1.349556,1.488365,-5.018262,-1.189209,-29.38208,1.21453
18.50787,0,-1.349145,1.489157,-5.024379,-1.400604,-29.59491,1.278085
18.52289,0,-1.348315,1.4907,-5.036724,-1.714142,-30.04297,1.367631
18.53864,0,-1.347802,1.491127,-5.042785,-1.869202,-30.17383,1.338987
18.55347,0,-1.347405,1.491725,-5.048835,-1.955475,-30.26498,1.361743
18.56854,0,-1.346597,1.492709,-5.060937,-2.147156,-30.58057,1.541768
18.58417,0,-1.346087,1.49282,-5.067006,-2.239471,-30.74838,1.643984
18.59967,0,-1.345574,1.492851,-5.072977,-2.351135,-30.87384,1.706193
18.61487,0,-1.344746,1.492949,-5.084805,-2.549683,-31.08908,1.798706
18.62976,0,-1.344382,1.492755,-5.090685,-2.586792,-31.1286,1.785442
18.64508,0,-1.343952,1.49198,-5.102549,-2.603302,-31.34863,1.832427
18.66016,0,-1.34399,1.491253,-5.108458,-2.529633,-31.48792,1.803111
18.67578,0,-1.344007,1.490527,-5.114258,-2.465332,-31.60501,1.738436
18.69086,0,-1.344344,1.489328,-5.125799,-2.427246,-31.74689,1.683488
18.70642,0,-1.344765,1.488848,-5.131316,-2.437805,-31.81281,1.669418
18.72162,0,-1.345304,1.488296,-5.136809,-2.493958,-31.92633,1.689728
18.7373,0,-1.346333,1.48756,-5.14773,-2.449768,-32.1958,1.746243
