InteractionNumber,ElapsedTime,SplitTime,missCount
-0.3512022,0.004926524,0.2045274,343.8307,328.0126,3.708734
-0.3620392,0.00598736,0.215471,345.3918,327.0868,4.362769
-0.3694169,0.005486486,0.2461934,344.6381,327.8174,3.023059
-0.3779265,0.007498846,0.2709122,343.9082,327.8875,1.824898
-0.3932823,0.01015363,0.3086754,343.4091,328.0772,359.9064
-0.4241631,0.00893751,0.3716401,341.7759,328.6633,357.0903
-0.4529554,0.01130525,0.4164864,341.826,328.6949,355.9416
-0.4702786,0.01751198,0.445891,347.1092,331.3136,353.7901
-0.4515231,0.01235837,0.4577504,355.1785,346.3488,349.9229
-0.4106879,-0.00362667,0.4386065,2.340006,4.960352,351.1139
-0.3711767,-0.01452644,0.3944612,5.019849,18.01941,352.0509
-0.3354719,-0.02715115,0.3407114,7.409363,28.43468,352.9258
-0.3030116,-0.03594719,0.291858,7.678405,36.34539,355.7842
-0.2713051,-0.0324523,0.2575224,7.396985,39.40689,356.2732
-0.237907,-0.02465905,0.2299184,9.250889,38.74551,359.013
-0.2093411,-0.02287018,0.2082157,7.017965,35.17536,358.6473
-0.1836138,-0.02464215,0.1910361,5.898456,30.89612,359.7907
-0.1543487,-0.02166785,0.1829465,4.309488,28.30321,0.255278
-0.1247478,-0.02303701,0.1825964,6.48289,32.562,0.5945061
-0.09045375,-0.03423311,0.1812354,12.19395,45.65094,358.3033
-0.06283207,-0.04906516,0.1661732,19.28718,62.79097,1.456659
-0.04594571,-0.06209715,0.1495486,23.61003,73.96163,1.829186
-0.01539488,-0.06809157,0.1418819,25.24424,80.92772,2.564384
0.0350781,-0.07702893,0.1437329,26.12423,83.11005,2.659808
0.1039993,-0.08766744,0.1541108,26.41165,81.64172,2.254953
0.244019,-0.1200394,0.1802212,26.73517,78.08733,2.863642
0.3242189,-0.1410043,0.1959509,26.24566,75.85406,3.100011
0.4435917,-0.1588476,0.223025,25.27478,72.25913,0.9690827
0.4953075,-0.1426537,0.2341957,21.86725,69.69508,2.192542
0.4944741,-0.1071339,0.2271436,17.71686,67.35803,2.845829
0.4574682,-0.06890338,0.2030977,8.845366,67.4147,1.355184
0.3974346,-0.03533377,0.1694019,0.2776821,69.35532,0.4037006
0.3250922,-0.006895653,0.1403076,353.8981,70.67442,0.4373476
0.2422641,0.001880469,0.114021,348.1885,71.30618,0.5099499
0.1539459,-0.003999726,0.09188848,343.6774,70.34655,359.9572
0.07685437,-0.002602505,0.07876959,339.9113,65.81653,0.414798
0.03152696,-0.0002443373,0.0830104,339.9825,53.5074,2.13306
-0.009889062,-0.005576764,0.1018756,349.037,31.08247,7.313803
-0.03518831,-0.009781467,0.1117497,355.6501,8.94734,8.210528
-0.04273229,-0.0143545,0.1165441,0.7953019,347.3141,7.805326
-0.03768799,-0.01846777,0.1219364,5.915401,330.595,5.85781
-0.02835624,-0.02964363,0.1309611,11.42539,316.7174,0.992836
-0.01788717,-0.03528287,0.1436758,12.63222,310.0894,358.2879
-0.01411717,-0.04137622,0.1594863,11.42425,308.7537,358.53
-0.04507843,-0.03710725,0.1780126,5.370425,308.5882,358.9795
-0.08111198,-0.04063701,0.1893301,2.779068,306.5426,0.8135242
-0.1602056,-0.04363209,0.2237701,359.5302,306.9533,1.802763
-0.245298,-0.03662898,0.263384,355.6818,311.0739,359.6652
-0.4801969,-0.007603714,0.4087913,359.2035,330.8707,358.7845
-0.474772,-0.01241745,0.4039307,2.379355,336.3788,357.2335
-0.4624113,-0.0157245,0.3973689,5.414019,339.4504,357.5645
-0.4528645,-0.0179585,0.392315,5.531391,341.2566,357.3157
-0.4371555,-0.02140435,0.38414,6.428562,344.0191,356.7245
-0.417033,-0.02156951,0.3758079,7.293611,348.1223,357.0119
-0.3507714,-0.0265539,0.3497204,9.494829,358.925,358.0557
