InteractionNumber,ElapsedTime,SplitTime,missCount,,,,,,,
5.280502,-0.03237226,-0.03267159,0.05865419,6.030149,29.95696,6.492842,,6.030149,29.95696,6.492842
5.401585,0.03961124,-0.01399039,0.01829887,5.749838,37.3381,3.945,,5.749838,37.3381,3.945
5.504436,0.07511177,-0.009821882,-0.004098656,5.701961,43.74014,1.397033,,5.701961,43.74014,1.397033
5.627104,0.1105353,-0.01171547,-0.03945768,5.766528,64.5193,358.1006,,5.766528,64.5193,-1.8994
5.742231,0.1248423,-0.01600626,-0.07850286,5.728763,92.43567,359.0836,,5.728763,92.43567,-0.9164
5.843727,0.1187632,-0.02461449,-0.1026266,8.710586,110.0692,1.102901,,8.710586,110.0692,1.102901
5.955772,0.1094992,-0.02873699,-0.1097482,9.836391,117.7453,2.688566,,9.836391,117.7453,2.688566
6.077541,0.1027902,-0.0502357,-0.0968767,18.66438,110.8506,6.229971,,18.66438,110.8506,6.229971
6.182322,0.0971183,-0.08550791,-0.08206962,33.4306,101.4072,8.701478,,33.4306,101.4072,8.701478
6.304056,0.09276208,-0.1067504,-0.06428541,42.02927,94.31464,11.03025,,42.02927,94.31464,11.03025
6.408991,0.1005878,-0.09564643,-0.05212213,36.43401,91.70436,10.01201,,36.43401,91.70436,10.01201
6.531567,0.1336432,-0.08892954,-0.04165105,30.34421,90.87335,9.094346,,30.34421,90.87335,9.094346
6.639132,0.1991525,-0.09951007,-0.02972212,28.42229,90.5202,10.38242,,28.42229,90.5202,10.38242
6.744152,0.3183602,-0.1519101,0.003248593,28.31126,86.06429,9.730371,,28.31126,86.06429,9.730371
6.863188,0.4027929,-0.1989906,0.03052361,29.66193,85.88805,7.278253,,29.66193,85.88805,7.278253
6.969477,0.4105886,-0.1934449,0.04991297,34.69406,87.0773,10.57683,,34.69406,87.0773,10.57683
7.07123,0.3552929,-0.1401984,0.07079252,28.58415,71.35644,6.347764,,28.58415,71.35644,6.347764
7.171764,0.2490047,-0.08848574,0.08134177,21.35684,47.09716,1.029933,,21.35684,47.09716,1.029933
7.294451,0.109331,-0.03453489,0.0630078,7.972857,18.79803,358.9024,,7.972857,18.79803,-1.0976
7.395983,0.03833316,-0.008557223,0.0332903,0.01824379,1.550526,1.408105,,0.01824379,1.550526,1.408105
7.496532,0.002721551,0.003815216,0.008875989,353.6816,349.4037,1.303473,,-6.3184,-10.5963,1.303473
7.62257,-0.0121217,0.008494317,-0.009375319,350.4277,337.5114,0.618926,,-9.5723,-22.4886,0.618926
7.726042,-0.01606623,0.01082079,-0.01490243,348.5855,328.3211,0.8731127,,-11.4145,-31.6789,0.8731127
7.844852,-0.01893053,0.003769358,-0.01771479,353.2186,318.4604,0.6000639,,-6.7814,-41.5396,0.6000639
7.970058,-0.02239732,-0.003606569,-0.0115939,356.854,312.3828,0.9602385,,-3.146,-47.6172,0.9602385
8.072662,-0.02152896,-0.009825991,-0.005322196,357.5826,311.4431,1.061404,,-2.4174,-48.5569,1.061404
8.183746,-0.02492216,-0.027465,0.01016334,1.017726,313.9664,0.5586848,,1.017726,-46.0336,0.5586848
8.286882,-0.04332272,-0.04208509,0.04480859,3.598243,317.8474,1.6158,,3.598243,-42.1526,1.6158
8.41305,-0.09155321,-0.06628839,0.120839,4.186159,322.5144,1.205157,,4.186159,-37.4856,1.205157
8.541862,-0.1587342,-0.1045983,0.2159866,2.070736,328.0412,359.9022,,2.070736,-31.9588,-0.0978
8.650545,-0.2220702,-0.1316466,0.3030655,0.320808,332.1982,358.9925,,0.320808,-27.8018,-1.0075
8.775129,-0.2718716,-0.1571131,0.3802385,2.026529,334.7309,356.7257,,2.026529,-25.2691,-3.2743
8.87546,-0.2876764,-0.1730688,0.4165753,6.779159,338.6516,356.064,,6.779159,-21.3484,-3.936
8.997332,-0.2990021,-0.1752442,0.4254288,10.8616,341.4271,357.1162,,10.8616,-18.5729,-2.8838
9.098244,-0.3074353,-0.1647437,0.4119683,13.42405,337.6711,356.7255,,13.42405,-22.3289,-3.2745
