InteractionNumber,ElapsedTime,SplitTime,missCount,,,,,,,
10.39739,-0.691978,-0.07184782,0.9448569,9.019385,28.26717,353.3259,,9.019385,28.26717,-6.6741
10.5125,-0.6983733,-0.04416921,0.9227549,0.3389876,40.77245,357.4897,,0.3389876,40.77245,-2.5103
10.63563,-0.7134363,-0.01160688,0.8919626,345.2035,53.12622,359.6209,,-14.7965,53.12622,-0.3791
10.74866,-0.7338647,-0.00156195,0.8871506,339.1803,49.74656,358.4952,,-20.8197,49.74656,-1.5048
10.85169,-0.7482774,0.002439031,0.8970141,338.4446,39.21241,358.4276,,-21.5554,39.21241,-1.5724
10.97637,-0.7564657,0.002904323,0.9081576,338.0244,31.71386,356.2491,,-21.9756,31.71386,-3.7509
11.07671,-0.7576503,0.000545392,0.9166903,338.7283,29.08147,354.7611,,-21.2717,29.08147,-5.2389
11.17838,-0.7613826,-0.001051359,0.9257637,339.622,24.95876,352.9342,,-20.378,24.95876,-7.0658
11.29299,-0.7778466,-0.001735857,0.9371499,340.1732,17.41525,351.1865,,-19.8268,17.41525,-8.8135
11.40301,-0.7989974,-0.003522356,0.9468005,340.6577,8.823769,350.4577,,-19.3423,8.823769,-9.5423
11.50381,-0.8101199,-0.01259364,0.9554626,344.4473,5.976365,349.3101,,-15.5527,5.976365,-10.6899
11.61511,-0.8182144,-0.02250014,0.9638541,350.4077,2.087472,348.6076,,-9.5923,2.087472,-11.3924
11.74089,-0.8275131,-0.03039598,0.9661762,353.6936,356.4345,349.0716,,-6.3064,-3.5655,-10.9284
11.84895,-0.832781,-0.03056782,0.968862,353.5491,351.2918,350.1952,,-6.4509,-8.7082,-9.8048
11.96543,-0.836064,-0.03459689,0.9682103,355.8226,348.6787,349.8496,,-4.1774,-11.3213,-10.1504
12.08296,-0.8328001,-0.03581599,0.9618822,357.2547,350.146,351.1125,,-2.7453,-9.854,-8.8875
12.19557,-0.8230281,-0.03533794,0.9538263,359.8742,353.6207,351.8042,,-0.1258,-6.3793,-8.1958
12.3042,-0.8020104,-0.03099232,0.9387793,358.1234,2.261443,353.3866,,-1.8766,2.261443,-6.6134
12.40887,-0.7874471,-0.02069198,0.9158111,351.5801,10.98637,355.5871,,-8.4199,10.98637,-4.4129
12.5302,-0.7858979,0.002577046,0.8797036,340.7818,14.2801,357.4313,,-19.2182,14.2801,-2.5687
12.65186,-0.7963142,0.0137156,0.846117,338.5338,11.47771,358.4991,,-21.4662,11.47771,-1.5009
12.75652,-0.8134134,0.02366991,0.8226913,332.8249,4.977149,357.619,,-27.1751,4.977149,-2.381
12.87904,-0.8399603,0.02874948,0.7884068,325.713,350.549,358.8354,,-34.287,-9.451,-1.1646
13.00447,-0.8450992,0.02868448,0.7687619,326.071,342.9883,1.601479,,-33.929,-17.0117,1.601479
13.10561,-0.8285308,0.02273077,0.7640179,326.9332,339.0486,1.664207,,-33.0668,-20.9514,1.664207
13.2097,-0.7994071,0.000183436,0.7710189,327.5977,335.0291,2.040909,,-32.4023,-24.9709,2.040909
13.32044,-0.7645506,-0.06210171,0.7844568,327.3537,332.7049,2.262194,,-32.6463,-27.2951,2.262194
13.43012,-0.7310313,-0.1396481,0.7843698,329.9591,329.2676,3.553252,,-30.0409,-30.7324,3.553252
13.5495,-0.6999021,-0.2134055,0.7737625,332.1292,327.766,4.023979,,-27.8708,-32.234,4.023979
13.65468,-0.6788737,-0.2864332,0.7601298,335.9113,328.7818,2.688939,,-24.0887,-31.2182,2.688939
13.75878,-0.6640959,-0.3187916,0.7461423,339.2358,329.1951,1.378226,,-20.7642,-30.8049,1.378226
13.859,-0.6474063,-0.2815613,0.7331827,342.6555,331.0724,359.7051,,-17.3445,-28.9276,-0.2949
13.95982,-0.629315,-0.2087481,0.7279459,342.5861,336.5687,359.6837,,-17.4139,-23.4313,-0.3163
14.0816,-0.5813449,-0.1014704,0.742237,346.226,355.5955,357.8535,,-13.774,-4.4045,-2.1465
14.18399,-0.5354561,-0.0411589,0.753198,347.2612,17.69176,357.528,,-12.7388,17.69176,-2.472
14.29741,-0.4944775,-0.0113135,0.7555164,348.3583,39.59171,359.2476,,-11.6417,39.59171,-0.7524
14.42354,-0.4612274,-0.00416922,0.7522966,350.5271,61.66525,359.4698,,-9.4729,61.66525,-0.5302
14.54842,-0.4453805,-0.001649632,0.7459717,352.5513,85.78479,0.3677091,,-7.4487,85.78479,0.3677091
14.6718,-0.462127,-0.007434779,0.7422498,354.2158,114.7865,0.8342527,,-5.7842,114.7865,0.8342527
14.77367,-0.4891626,-0.005007221,0.7458798,354.2495,138.9474,0.6285943,,-5.7505,138.9474,0.6285943
14.8752,-0.5244343,-0.003014666,0.7522102,353.5734,159.6098,2.947884,,-6.4266,159.6098,2.947884
