InteractionNumber,touched
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0
29,0

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
6.068642,0.1612967,-0.04884059,-0.007654855,4.216428,34.75718,2.0266,-0.1612967,1.451159,9.857655,-0.04035827,1.086937,9.66043,-0.3520827,1.172875,9.635963
6.173748,0.1600448,-0.04458952,-0.006027246,1.690746,34.33157,2.34962,-0.1600448,1.45541,9.856028,-0.05245381,1.079268,9.659413,-0.3620063,1.141634,9.648775
6.273827,0.1609124,-0.0411933,-0.005512564,359.4563,34.47147,2.02925,-0.1609124,1.458807,9.855513,-0.06323707,1.075763,9.657943,-0.3626836,1.12551,9.65528
6.380501,0.1627387,-0.03755776,-0.00518962,357.4024,34.51508,1.667611,-0.1627387,1.462442,9.855189,-0.074419,1.076524,9.656396,-0.3658944,1.122636,9.659075
6.486683,0.1655466,-0.03312974,-0.004728191,355.272,34.22643,1.308746,-0.1655466,1.46687,9.854728,-0.08629291,1.077864,9.653565,-0.3722345,1.125388,9.660353
6.599522,0.1686152,-0.02893079,-0.00363208,353.0024,33.50377,0.845869,-0.1686152,1.471069,9.853632,-0.09670192,1.077842,9.650344,-0.3789416,1.127196,9.660639
6.700821,0.1722564,-0.02462556,-0.00274314,351.1671,33.04867,0.8784301,-0.1722564,1.475374,9.852743,-0.1045139,1.07806,9.648688,-0.3884113,1.12724,9.658859
6.810604,0.1765699,-0.02187624,-0.001794502,349.7308,32.84585,0.8705849,-0.1765699,1.478124,9.851794,-0.1129315,1.07776,9.645786,-0.39979,1.132617,9.656236
6.910809,0.1801655,-0.0201784,-0.0003562011,349.435,32.63715,0.8008398,-0.1801655,1.479822,9.850356,-0.1182183,1.078653,9.643242,-0.4112037,1.147628,9.655248
7.013752,0.1830237,-0.01930489,0.000954045,349.1324,32.37479,1.234456,-0.1830237,1.480695,9.849046,-0.1223212,1.080004,9.640278,-0.4250861,1.176021,9.654208
7.123814,0.1850906,-0.01980234,0.002784166,348.7104,32.15107,1.703998,-0.1850906,1.480198,9.847216,-0.1255821,1.077742,9.636871,-0.4384614,1.2349,9.659792
7.235695,0.1860448,-0.01910051,0.004463498,348.1848,31.55389,2.368934,-0.1860448,1.480899,9.845536,-0.1289301,1.073249,9.635862,-0.4474556,1.291831,9.670236
7.336563,0.1867691,-0.01908998,0.00477376,348.2842,31.23627,2.655041,-0.1867691,1.48091,9.845226,-0.1305843,1.07201,9.636194,-0.4496277,1.338434,9.679244
