InteractionNumber,touched
0,1
1,1
2,0
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
8.412609,0.2741326,-0.0472412,-0.08718343,356.1818,357.4829,2.22922,-0.2741326,1.452759,9.937183,-0.03020024,1.119439,9.773146,-0.499059,1.118095,9.711907
8.523518,0.246682,-0.04574813,-0.09075616,357.0887,356.0521,2.014803,-0.246682,1.454252,9.940756,-0.004617307,1.123007,9.788373,-0.4239919,1.122551,9.718461
8.636215,0.2231012,-0.04331415,-0.09460583,357.5752,357.6587,1.842291,-0.2231012,1.456686,9.944606,0.01988655,1.123888,9.795139,-0.3657409,1.13145,9.724454
8.73637,0.2093983,-0.04344741,-0.09612952,358.2314,2.748935,2.076382,-0.2093983,1.456553,9.94613,0.03918876,1.124529,9.79395,-0.3324878,1.138884,9.726474
8.848293,0.2064508,-0.05041906,-0.09543616,0.001947084,14.38379,2.413661,-0.2064508,1.449581,9.945436,0.04574537,1.12081,9.785944,-0.3216443,1.132975,9.724957
8.948586,0.1974035,-0.06080555,-0.09161972,0.5887562,20.20143,2.739603,-0.1974035,1.439194,9.94162,0.04478466,1.105011,9.769111,-0.3001512,1.095621,9.738598
9.060516,0.1817084,-0.06939937,-0.08906545,2.717612,25.25478,3.677233,-0.1817084,1.430601,9.939065,0.0380782,1.085096,9.755994,-0.2598943,1.037338,9.783964
9.160637,0.1597349,-0.06627478,-0.08565545,2.82254,25.36204,5.242621,-0.1597349,1.433725,9.935656,0.03091887,1.076041,9.749196,-0.2422964,1.03851,9.814968
9.261467,0.1285906,-0.06092557,-0.07965632,2.912314,18.17295,5.199165,-0.1285906,1.439074,9.929656,0.04245765,1.083076,9.740868,-0.2254303,1.035842,9.82163
9.373501,0.0925106,-0.05667538,-0.07329069,2.690501,5.403781,5.372019,-0.0925106,1.443325,9.92329,0.06487973,1.093313,9.740757,-0.2030662,1.024111,9.8127
9.485363,0.06325023,-0.05337298,-0.07023931,2.262425,352.5938,5.108989,-0.06325023,1.446627,9.920239,0.09000506,1.091757,9.746497,-0.1714261,1.013361,9.805983
9.585934,0.04572032,-0.05149266,-0.06953289,1.589519,343.1729,4.602381,-0.04572032,1.448507,9.919533,0.1137663,1.088914,9.755705,-0.142232,1.011026,9.801549
9.686481,0.03619883,-0.05070054,-0.06853282,1.03785,336.8444,3.694739,-0.03619883,1.449299,9.918532,0.1350877,1.087387,9.765581,-0.1180776,1.015795,9.793391
9.798717,0.03174004,-0.04966241,-0.06575818,0.07959399,332.0903,2.932683,-0.03174004,1.450338,9.915758,0.1574576,1.086853,9.775965,-0.09571919,1.020481,9.78766
9.910969,0.03087908,-0.04836743,-0.06030516,359.7796,329.5883,1.885875,-0.03087908,1.451633,9.910305,0.1930008,1.082341,9.785903,-0.08188163,1.016959,9.789059
10.02299,0.02867599,-0.048349,-0.05314094,359.5781,328.2747,1.384282,-0.02867599,1.451651,9.903141,0.2158219,1.06983,9.793859,-0.07702308,1.007461,9.789677
10.12334,0.0220103,-0.05045071,-0.04625622,359.9034,327.164,1.474556,-0.0220103,1.449549,9.896256,0.2225602,1.05971,9.800704,-0.07471412,0.9974337,9.786109
10.23587,0.010747,-0.05368649,-0.03846997,0.6054672,326.0444,2.093046,-0.010747,1.446314,9.88847,0.2184714,1.053734,9.79081,-0.06856049,0.9912559,9.776381
10.33737,-0.005782248,-0.06217049,-0.03254181,0.3636158,324.1331,2.922494,0.005782248,1.437829,9.882542,0.2663388,1.00692,9.785421,-0.0575207,0.9790608,9.769438
10.44854,-0.04017378,-0.08541019,-0.02446892,359.4306,321.4241,3.000371,0.04017378,1.41459,9.874469,0.3460533,0.9263721,9.808115,-0.03399106,0.9444615,9.764075
10.54855,-0.08830872,-0.1183159,-0.01857736,359.8409,318.875,3.77386,0.08830872,1.381684,9.868577,0.4377971,0.8726079,9.858325,-0.002652861,0.9019868,9.761962
10.66009,-0.1483893,-0.136521,-0.0120042,0.9538399,317.4286,4.673218,0.1483893,1.363479,9.862004,0.5321132,0.8495544,9.905384,0.04728774,0.8584481,9.764113
10.76017,-0.1860546,-0.1337863,-0.006153913,3.756011,318.8706,3.863128,0.1860546,1.366214,9.856153,0.5765383,0.8722176,9.904889,0.09797241,0.8663719,9.768539
10.86033,-0.2044946,-0.1275938,-0.003589155,4.584211,320.909,3.08716,0.2044946,1.372406,9.853589,0.6156915,0.8833511,9.875621,0.12682,0.8788259,9.746974
10.96053,-0.2114608,-0.1230142,-0.003971107,5.406327,322.8,2.004305,0.2114608,1.376986,9.853971,0.6219697,0.8995258,9.817246,0.1374933,0.8967441,9.735703
11.07336,-0.2097108,-0.1111463,-0.008079125,6.015247,325.0298,0.7712494,0.2097108,1.388854,9.858079,0.5622073,0.946631,9.761312,0.1337775,0.9151252,9.737752
11.17356,-0.2004181,-0.09611064,-0.01613257,4.807742,325.916,0.8208792,0.2004181,1.403889,9.866133,0.4888047,0.9621456,9.737345,0.1234978,0.9313131,9.747213
11.28519,-0.1772968,-0.08049289,-0.02658477,2.752164,328.5056,359.6645,0.1772968,1.419507,9.876585,0.3991051,0.9637629,9.73324,0.1038855,0.9403573,9.749827
11.38651,-0.1480477,-0.07164697,-0.03550114,1.011352,332.4192,358.5062,0.1480477,1.428353,9.885501,0.336857,0.9660991,9.745101,0.08637197,0.9441287,9.74917
11.49776,-0.117688,-0.06719404,-0.04418629,359.9049,334.8497,357.449,0.117688,1.432806,9.894186,0.3037857,0.9686299,9.763801,0.06700327,0.9498257,9.749955
11.598,-0.0934692,-0.06550156,-0.05034458,0.1850469,336.0132,356.391,0.0934692,1.434498,9.900345,0.2908827,0.9734195,9.77918,0.0395521,0.9485416,9.746349
11.71059,-0.06751891,-0.06693705,-0.05611018,359.1749,335.7579,356.1764,0.06751891,1.433063,9.90611,0.2831648,0.9789504,9.795467,-0.008343993,0.9408228,9.732923
11.82294,-0.04358083,-0.07479125,-0.0598464,359.3517,334.2574,355.0531,0.04358083,1.425209,9.909846,0.2716038,0.9744713,9.811471,-0.06728875,0.8905241,9.717902
11.93563,-0.02495633,-0.07601212,-0.06324167,0.7005695,332.442,353.2484,0.02495633,1.423988,9.913241,0.2683008,0.966988,9.838673,-0.07368775,0.7594477,9.789507
12.04749,-0.01307506,-0.07645003,-0.06883517,1.045123,330.1451,353.2321,0.01307506,1.42355,9.918835,0.2821936,0.9789404,9.875303,0.0005511614,0.7365197,9.889045
12.14799,-0.003739274,-0.07357716,-0.07652158,1.595173,328.1005,352.9804,0.003739274,1.426423,9.926521,0.2960043,0.9956246,9.900189,0.0839905,0.8020331,9.915358
12.24807,0.006315959,-0.06762493,-0.08514073,1.989776,327.3369,353.9617,-0.006315959,1.432375,9.935141,0.2955767,1.006651,9.914334,0.1212884,0.8770883,9.911612
12.35986,0.01701783,-0.06494703,-0.0921156,1.830275,327.0915,355.6415,-0.01701783,1.435053,9.942116,0.2798348,1.010373,9.920626,0.1093311,0.8994091,9.884641
12.46093,0.02747367,-0.06755871,-0.09350248,2.156148,328.1793,356.2674,-0.02747367,1.432441,9.943502,0.2545324,1.004459,9.916423,0.06770166,0.8734847,9.851881
12.57288,0.04359379,-0.06551422,-0.08887894,2.72288,331.8044,357.5589,-0.04359379,1.434486,9.938879,0.2234255,1.00062,9.905212,-0.01891352,0.8611562,9.800277
12.68538,0.062892,-0.06077292,-0.08419706,2.662171,334.829,359.2951,-0.062892,1.439227,9.934197,0.199515,1.004304,9.883783,-0.1736189,0.8850601,9.732183
12.79811,0.07904347,-0.05772743,-0.08205359,1.854513,336.3115,359.4842,-0.07904347,1.442273,9.932054,0.1791871,1.012838,9.855561,-0.3064451,0.9111657,9.713579
12.90993,0.08960886,-0.05222029,-0.07901674,1.167319,336.8448,0.2520435,-0.08960886,1.44778,9.929017,0.1736316,1.03615,9.843606,-0.3778396,0.9234935,9.718019
13.0107,0.09266751,-0.04581328,-0.07539815,359.8094,336.2083,0.9774421,-0.09266751,1.454187,9.925398,0.1812694,1.075735,9.843418,-0.3882667,0.9195485,9.730228
13.12421,0.08781149,-0.04423712,-0.07136051,359.5257,334.2113,1.769151,-0.08781149,1.455763,9.921361,0.1981974,1.115087,9.832881,-0.3483666,0.8897569,9.739918
13.23454,0.07284634,-0.04776382,-0.06626448,0.2863064,331.0128,2.829474,-0.07284634,1.452236,9.916265,0.2331951,1.095426,9.820189,-0.2659327,0.860348,9.750093
13.33638,0.05332505,-0.05075969,-0.06063658,0.7375718,328.7602,3.848615,-0.05332505,1.44924,9.910637,0.2568483,1.050334,9.830822,-0.186876,0.8498617,9.765613
