InteractionNumber,touched
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,1
49,0
50,0
51,1

time,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,RhandPosX,RhandPosY,RhandPosZ
11.49705,-0.06448694,-0.252776,0.1095364,356.8415,352.294,2.884361,0.06448694,1.247224,9.740463,0.4102487,0.9096537,9.716252,0.03305956,0.6824129,9.618385
11.61042,-0.08698727,-0.2981768,0.130032,357.7914,348.9501,3.690505,0.08698727,1.201823,9.719968,0.4215027,0.8803039,9.749179,0.1075939,0.6620367,9.63188
11.71044,-0.09467137,-0.33696,0.1430434,359.5711,347.6465,3.960952,0.09467137,1.16304,9.706957,0.4192174,0.8569852,9.768928,0.1310591,0.6494101,9.615694
11.82288,-0.09518581,-0.3532828,0.1495866,1.997692,346.9636,4.56701,0.09518581,1.146717,9.700414,0.3980363,0.8329902,9.779744,0.1352412,0.7383682,9.572885
11.92346,-0.0922255,-0.3378622,0.1481603,1.410474,344.9047,4.145614,0.0922255,1.162138,9.701839,0.3881634,0.8242623,9.790234,0.1118502,0.8089445,9.495576
12.03442,-0.09761959,-0.2984203,0.1350576,0.4920719,335.9467,3.50103,0.09761959,1.20158,9.714943,0.3931347,0.8516349,9.800046,0.07133863,0.866707,9.384954
12.14205,-0.110449,-0.257304,0.1127309,0.38613,322.6642,3.603822,0.110449,1.242696,9.737269,0.4322263,0.8712635,9.824918,0.02256805,0.925381,9.254043
12.24724,-0.1314293,-0.225588,0.08491426,1.654278,309.4406,5.129035,0.1314293,1.274412,9.765086,0.5034512,0.8576649,9.891923,-0.02614451,0.9771894,9.218717
12.3477,-0.1697556,-0.2251733,0.06337195,1.763391,303.5673,6.48429,0.1697556,1.274827,9.786628,0.5829539,0.8408367,9.977195,-0.01787088,0.9615011,9.278883
12.45925,-0.260288,-0.2349102,0.03893092,359.7615,305.3553,7.020142,0.260288,1.26509,9.811069,0.6772676,0.8953824,10.00648,-0.02073378,0.9236346,9.346676
