,time,posX,posY,posZ,gazeX,gazeY,gazeZ
136,2.734451,0.1591352,1.61405,1.5,0.1545753,1.535305,1.5
137,2.754456,0.1591352,1.615273,1.5,0.155535,1.538722,1.5
138,2.774452,0.1591352,1.617822,1.5,0.1568713,1.546123,1.5
139,2.794456,0.1591352,1.619038,1.5,0.1578248,1.549676,1.5
140,2.814453,0.1591352,1.621601,1.5,0.1594531,1.554831,1.5
141,2.83445,0.1591352,1.624141,1.5,0.1613284,1.560199,1.5
142,2.854454,0.1591352,1.625345,1.5,0.1621869,1.562786,1.5
143,2.874451,0.1591352,1.627853,1.5,0.1636525,1.567582,1.5
144,2.894455,0.1591352,1.629066,1.5,0.1639492,1.569297,1.5
145,2.914452,0.1591352,1.631609,1.5,0.1650475,1.572777,1.5
146,2.934456,0.1591352,1.634105,1.5,0.1648294,1.576913,1.5
147,2.954453,0.1591352,1.635395,1.5,0.1648118,1.578674,1.5
148,2.974457,0.1591352,1.637906,1.5,0.1640684,1.583116,1.5
149,2.994453,0.1591352,1.639165,1.5,0.1637706,1.58576,1.5
150,3.01445,0.1591352,1.641637,1.5,0.1627695,1.590458,1.5
151,3.034454,0.1591352,1.644207,1.5,0.1614788,1.595902,1.5
152,3.054451,0.1591352,1.64539,1.5,0.1607074,1.600093,1.5
153,3.074455,0.1591352,1.647901,1.5,0.159234,1.609461,1.5
154,3.094452,0.1591352,1.649121,1.5,0.1587041,1.613238,1.5
155,3.114456,0.1591352,1.651694,1.5,0.157996,1.61897,1.5
156,3.134453,0.1591352,1.654205,1.5,0.1571111,1.62371,1.5
157,3.154449,0.1591352,1.65538,1.5,0.1569585,1.625835,1.5
158,3.174454,0.1591352,1.657956,1.5,0.1568969,1.629803,1.5
159,3.19445,0.1591352,1.659181,1.5,0.1569486,1.631572,1.5
160,3.214455,0.1591352,1.661684,1.5,0.1571295,1.63499,1.5
161,3.234451,0.1591352,1.66418,1.5,0.1576274,1.6367,1.5
162,3.254456,0.1591352,1.665484,1.5,0.1578449,1.637444,1.5
163,3.274452,0.1591352,1.668001,1.5,0.1586023,1.639359,1.5
164,3.294456,0.1591352,1.669253,1.5,0.1584619,1.640607,1.5
165,3.314453,0.1591352,1.671697,1.5,0.1588287,1.641731,1.5
166,3.33445,0.1591352,1.6742,1.5,0.1591957,1.643134,1.5
167,3.354454,0.1591352,1.675438,1.5,0.1587807,1.644318,1.5
168,3.374451,0.1591352,1.678119,1.5,0.1587028,1.646408,1.5
169,3.394455,0.1591352,1.679304,1.5,0.1583837,1.647106,1.5
