time,posX,posY,posZ,gazeX,gazeY,gazeZ
108.14,-0.04412019,-0.02779566,-0.1383388,-27.56229,-1.333282,1.272096
108.16,-0.04389426,-0.02769237,-0.1383517,-27.62915,-1.252502,1.304567
108.18,-0.04367953,-0.02760276,-0.1383542,-27.66486,-1.13858,1.224267
108.2,-0.04337229,-0.02744951,-0.1383561,-27.72778,-0.9516602,1.140653
108.22,-0.04314333,-0.02735259,-0.1383354,-27.77054,-0.8360596,1.103066
108.24,-0.04265158,-0.02726585,-0.1382919,-27.80228,-0.5876465,1.033926
108.26,-0.04212815,-0.02726271,-0.1383089,-27.79861,-0.3123169,0.9322153
108.28,-0.04185527,-0.02730409,-0.1383021,-27.79956,-0.1637878,0.8981444
108.3,-0.04119737,-0.02748072,-0.1383172,-27.77661,0.1391143,0.7856455
108.32,-0.04087262,-0.02749942,-0.1382921,-27.78918,0.3098752,0.720399
108.34,-0.0405108,-0.02751658,-0.1382498,-27.8013,0.4823104,0.6633987
108.36,-0.0394374,-0.02737081,-0.1381295,-27.85117,1.050789,0.4083381
108.38,-0.03895973,-0.02741611,-0.1380907,-27.85501,1.255548,0.3150936
108.4,-0.03801841,-0.02740544,-0.1380321,-27.81982,1.73771,0.1016956
108.42,-0.03749296,-0.02741351,-0.1379868,-27.80118,1.999178,-0.0184021
108.44,-0.03619039,-0.0274577,-0.1379624,-27.75723,2.649766,-0.3507385
108.46,-0.03467314,-0.02753087,-0.1379151,-27.68192,3.479021,-0.7539368
108.48,-0.03380776,-0.02761069,-0.1379221,-27.6106,3.949609,-0.9653931
108.5,-0.03204348,-0.02782342,-0.1379443,-27.47974,4.93667,-1.409546
108.52,-0.03115273,-0.02788853,-0.138017,-27.39481,5.45085,-1.632904
108.54,-0.02941382,-0.02797945,-0.1380244,-27.34717,6.512175,-2.158966
108.56,-0.02775853,-0.02802792,-0.1380798,-27.28241,7.459525,-2.6297
108.58,-0.02693795,-0.02803923,-0.1381148,-27.24432,7.877116,-2.834137
108.6,-0.02554993,-0.02806668,-0.1381574,-27.17487,8.601392,-3.218109
108.62,-0.02493226,-0.0280901,-0.1381316,-27.13611,8.90459,-3.403534
108.64,-0.02436884,-0.02816176,-0.138105,-27.08923,9.134082,-3.566315
108.66,-0.02308984,-0.02835581,-0.1379199,-26.91965,9.609268,-3.873779
108.68,-0.02275637,-0.02842605,-0.137828,-26.85513,9.670217,-3.920349
108.7,-0.02233841,-0.02866939,-0.1376327,-26.69022,9.717196,-3.992065
108.72,-0.02217456,-0.02880102,-0.1375417,-26.59766,9.700579,-4.023621
108.74,-0.02201488,-0.02893791,-0.1372031,-26.45932,9.619937,-4.032318
108.76,-0.02173564,-0.0290597,-0.1370992,-26.37656,9.541396,-3.990143
108.78,-0.02174715,-0.02926823,-0.1367081,-26.1972,9.397693,-3.928589
108.8,-0.02184592,-0.02943163,-0.1363315,-26.05823,9.24697,-3.86554
108.82,-0.02192896,-0.02949834,-0.1361595,-25.97302,9.165817,-3.847687
108.84,-0.02221276,-0.02965255,-0.1357357,-25.80856,9.018802,-3.808197
108.86,-0.02265818,-0.02966247,-0.1352693,-25.67984,8.834989,-3.722382
108.88,-0.02286506,-0.02973186,-0.135068,-25.62067,8.757179,-3.668945
108.9,-0.02314444,-0.02999638,-0.1345932,-25.45212,8.542854,-3.448486
108.92,-0.023342,-0.0301628,-0.1343073,-25.3548,8.450036,-3.356293
108.94,-0.02360094,-0.03021728,-0.1340813,-25.27399,8.350369,-3.325378
108.96,-0.02379999,-0.03025811,-0.1338256,-25.22382,8.269381,-3.313171
108.98,-0.02448681,-0.03044471,-0.1331788,-24.9805,7.993564,-3.12793
109,-0.02492372,-0.03064891,-0.1328635,-24.75882,7.791409,-2.935364
109.02,-0.02509958,-0.03075834,-0.1326855,-24.65082,7.694802,-2.849213
109.04,-0.02550365,-0.03101721,-0.1323237,-24.48532,7.538235,-2.723541
109.06,-0.02593368,-0.03125793,-0.1319876,-24.32932,7.39168,-2.638275
109.08,-0.02614962,-0.03135426,-0.1318269,-24.26178,7.324872,-2.584747
109.1,-0.02632314,-0.03139876,-0.1317174,-24.18979,7.251463,-2.49353
109.12,-0.02664305,-0.0315423,-0.1314022,-24.0889,7.112863,-2.325928
109.14,-0.02697299,-0.0316897,-0.1311557,-23.94458,7.015301,-2.189728
109.16,-0.02722967,-0.03184172,-0.1308422,-23.7869,6.903415,-2.062408
109.18,-0.02737367,-0.03192717,-0.1306978,-23.68671,6.845901,-1.987976
109.2,-0.02766474,-0.03213392,-0.1304079,-23.49091,6.697316,-1.83609
109.22,-0.0277869,-0.03222682,-0.1302607,-23.40057,6.642782,-1.749664
109.24,-0.02799102,-0.03245393,-0.1299576,-23.17114,6.530678,-1.624298
109.26,-0.02810466,-0.03262226,-0.1297742,-23.03284,6.486372,-1.574585
109.28,-0.02837944,-0.03314584,-0.1293806,-22.71765,6.350836,-1.48764
109.3,-0.02861198,-0.03354322,-0.1289983,-22.38611,6.191729,-1.374542
109.32,-0.02871145,-0.03377781,-0.1287833,-22.23788,6.118718,-1.299896
109.34,-0.02893121,-0.03415459,-0.128364,-21.89325,6.015845,-1.183899
109.36,-0.02900867,-0.03435963,-0.1281529,-21.7283,5.95324,-1.147705
109.38,-0.02915972,-0.03470415,-0.127797,-21.38351,5.855186,-1.12323
109.4,-0.02933955,-0.03501688,-0.1274242,-21.10141,5.801123,-1.119293
109.42,-0.02940269,-0.03516594,-0.1272662,-20.98544,5.773701,-1.096222
109.44,-0.02952381,-0.03551869,-0.1269127,-20.75269,5.739413,-1.040558
109.46,-0.02954353,-0.03564478,-0.1267818,-20.66504,5.760177,-1.030457
109.48,-0.02954976,-0.03588001,-0.1265608,-20.49854,5.774226,-1.022491
109.5,-0.02954617,-0.03607576,-0.1263975,-20.33731,5.776809,-1.0466
109.52,-0.02955995,-0.03618398,-0.1263162,-20.27872,5.770753,-1.033691
109.54,-0.02957183,-0.03637663,-0.1261723,-20.14926,5.786289,-0.992981
109.56,-0.02954418,-0.03647779,-0.1261246,-20.08194,5.78059,-0.9721375
109.58,-0.02954004,-0.03656607,-0.126076,-20.01825,5.796165,-0.973053
109.6,-0.02961518,-0.03686165,-0.1259317,-19.81714,5.763872,-0.9675598
109.62,-0.02967263,-0.03695148,-0.1258726,-19.74597,5.73682,-0.9674683
109.64,-0.02979219,-0.03705264,-0.1257543,-19.63342,5.684458,-0.9134521
109.66,-0.02985709,-0.03710699,-0.1256716,-19.58521,5.655861,-0.8819885
109.68,-0.02995554,-0.03725782,-0.1254257,-19.49396,5.567639,-0.759613
109.7,-0.03007735,-0.03746644,-0.1251323,-19.36511,5.475849,-0.7217712
109.72,-0.03016444,-0.0375574,-0.1249824,-19.29437,5.433638,-0.7346497
109.74,-0.03035811,-0.03775059,-0.1246524,-19.15396,5.346367,-0.7409973
109.76,-0.0304701,-0.037832,-0.1244901,-19.07449,5.289826,-0.7113647
109.78,-0.03072921,-0.03806169,-0.1241596,-18.84998,5.172908,-0.6589966
109.8,-0.03086279,-0.03821827,-0.123972,-18.72385,5.117586,-0.6338196
109.82,-0.03128439,-0.03874093,-0.1235229,-18.45435,4.95551,-0.5636597
109.84,-0.03168172,-0.03918356,-0.1231307,-18.17181,4.766341,-0.4741821
109.86,-0.03191447,-0.03937856,-0.1228627,-18.03604,4.68085,-0.4307251
109.88,-0.03244295,-0.03977543,-0.1223668,-17.7796,4.473422,-0.3475952
109.9,-0.03272362,-0.0399553,-0.1221695,-17.63419,4.351316,-0.2823181
109.92,-0.03332943,-0.04040733,-0.1216779,-17.33517,4.088824,-0.1827393
109.94,-0.03396498,-0.0406909,-0.1210593,-16.97385,3.817398,-0.0425415
109.96,-0.03428803,-0.04089485,-0.1209217,-16.89459,3.695826,0.04840238
109.98,-0.03504734,-0.04141814,-0.1204482,-16.56705,3.445326,0.1648928
110,-0.035408,-0.04168179,-0.1202037,-16.38547,3.324262,0.2405686
110.02,-0.03578664,-0.04181165,-0.1200397,-16.23438,3.216676,0.3301727
110.04,-0.0365103,-0.04224543,-0.1196448,-15.94031,2.981676,0.4852638
110.06,-0.0372422,-0.04274904,-0.1192857,-15.65662,2.786708,0.6479638
110.08,-0.0379505,-0.0431248,-0.118999,-15.3989,2.597955,0.8052327
110.1,-0.03822641,-0.04326519,-0.1188749,-15.31418,2.515134,0.9136637
110.12,-0.03879372,-0.0435744,-0.1186162,-15.15747,2.383724,1.080592
110.14,-0.03932023,-0.04370745,-0.1184075,-15.04523,2.298077,1.170985
110.16,-0.03956695,-0.04372668,-0.11831,-15.01059,2.277717,1.215387
110.18,-0.03997769,-0.04378143,-0.1181341,-14.98676,2.217068,1.31736
110.2,-0.04015458,-0.04384124,-0.1180376,-14.96689,2.210465,1.394985
110.22,-0.04057251,-0.04389107,-0.1178662,-14.9577,2.166617,1.499271
110.24,-0.04082896,-0.04388198,-0.1177411,-14.97565,2.162315,1.602384
110.26,-0.04093594,-0.04388909,-0.1176905,-14.97549,2.154466,1.640523
110.28,-0.04109382,-0.0439407,-0.1176426,-14.95462,2.150975,1.731716
110.3,-0.04116152,-0.04396762,-0.1176324,-14.93539,2.155554,1.748963
110.32,-0.04127669,-0.04391062,-0.1175917,-14.99048,2.112832,1.836972
110.34,-0.04131124,-0.04391478,-0.1175853,-14.99545,2.110122,1.849443
110.36,-0.04129405,-0.0439784,-0.1176182,-14.98343,2.108242,1.85047
110.38,-0.04147476,-0.0439799,-0.1176364,-15.03433,2.042652,1.775963
110.4,-0.04153026,-0.04395798,-0.1176529,-15.05148,2.006398,1.815446
110.42,-0.04144786,-0.0439621,-0.1177075,-15.05444,1.99227,1.954975
110.44,-0.04136108,-0.04379964,-0.1176974,-15.19104,1.993967,1.948583
110.46,-0.04135292,-0.04370698,-0.1176877,-15.24127,1.989025,1.969658
110.48,-0.04133535,-0.04367284,-0.1177194,-15.24524,1.957328,1.970158
110.5,-0.04131357,-0.04360532,-0.1177094,-15.30444,1.95254,1.955215
110.52,-0.0413148,-0.04342783,-0.1177145,-15.39755,1.96988,1.888193
110.54,-0.0413038,-0.04332398,-0.117759,-15.43915,1.9661,1.879384
110.56,-0.04130814,-0.04328842,-0.1178007,-15.43924,1.971396,1.872058
110.58,-0.04132878,-0.04325374,-0.1179007,-15.49738,1.960208,1.855216
110.6,-0.04134572,-0.04325151,-0.1179404,-15.54218,1.948822,1.863525
110.62,-0.04139721,-0.04324042,-0.1180165,-15.6217,1.922201,1.866981
110.64,-0.04146618,-0.0431667,-0.118061,-15.73215,1.893208,1.882803
110.66,-0.04151651,-0.04308914,-0.1180978,-15.77881,1.876094,1.897503
110.68,-0.04161684,-0.04291717,-0.1181756,-15.87018,1.829007,1.900826
110.7,-0.04167787,-0.04281968,-0.1182106,-15.91837,1.802142,1.900095
110.72,-0.04181267,-0.04266241,-0.1182792,-15.99396,1.737638,1.924356
110.74,-0.04198616,-0.04257726,-0.1183668,-16.02917,1.645516,1.902341
110.76,-0.04206304,-0.04245684,-0.1182891,-16.20453,1.59373,1.924915
110.78,-0.04223125,-0.0421432,-0.1183337,-16.32339,1.521744,1.985347
110.8,-0.04231881,-0.04211925,-0.1183723,-16.31839,1.483182,1.972284
110.82,-0.04240474,-0.04213426,-0.1184169,-16.32907,1.436808,1.997466
110.84,-0.04267676,-0.042069,-0.1185719,-16.42993,1.329421,2.048248
110.86,-0.04277236,-0.04207107,-0.1186257,-16.44211,1.305986,2.04817
110.88,-0.04293525,-0.04207019,-0.1187171,-16.48145,1.234127,2.039349
110.9,-0.0430151,-0.04204952,-0.1187375,-16.51471,1.196557,2.042848
110.92,-0.04314975,-0.04194769,-0.118791,-16.59583,1.145479,2.074991
110.94,-0.0432114,-0.04188374,-0.1188199,-16.62363,1.124896,2.092816
110.96,-0.04333957,-0.04175805,-0.1188986,-16.68875,1.081907,2.113582
110.98,-0.04339898,-0.04171018,-0.1189398,-16.72046,1.07924,2.113673
111,-0.04350796,-0.04162444,-0.118997,-16.79456,1.040447,2.13218
111.02,-0.04356319,-0.04154629,-0.1190243,-16.87473,1.007296,2.177209
111.04,-0.04357731,-0.04151255,-0.11904,-16.91473,0.9910724,2.18253
