time,phase,posX,posY,posZ,rotX,rotY,rotZ
2.923233,0,-0.0809795,1.448421,1.13608,13.71882,-0.2305298,0.2827058
2.937195,0,-0.08235413,1.450528,1.153684,13.22434,-0.2401733,0.2857716
2.950485,0,-0.08395101,1.449796,1.169032,13.05566,-0.1696472,0.05336183
2.964752,0,-0.08507948,1.449063,1.184519,12.86592,-0.02630615,0.06692354
2.979095,0,-0.08571319,1.450086,1.199585,12.95796,0.001526794,0.4824366
2.992538,0,-0.08646636,1.452039,1.214884,13.26255,-0.08453369,0.6735633
3.005905,0,-0.08705014,1.454221,1.230532,13.49606,-0.2013855,0.735666
3.020447,0,-0.08714601,1.456598,1.246516,13.44337,-0.3113403,0.8448443
3.034515,0,-0.08721192,1.4582,1.262282,13.11746,-0.2938232,0.7580209
3.048096,0,-0.08718538,1.45958,1.277637,12.90297,-0.1875305,0.6171422
3.061981,0,-0.08713797,1.461279,1.292904,12.8301,-0.04162598,0.4456673
3.076385,0,-0.0870057,1.462922,1.308084,12.93849,0.1353144,0.2961772
3.089645,0,-0.08687779,1.464172,1.323254,13.09901,0.293099,0.1240469
3.104507,0,-0.08669664,1.465071,1.338458,13.27783,0.4356771,-0.04418945
3.118515,0,-0.08638078,1.465593,1.353715,13.44004,0.5836077,-0.1733093
3.13179,0,-0.08597647,1.465957,1.369104,13.5608,0.72956,-0.2845154
3.145599,0,-0.08564025,1.466152,1.384673,13.65691,0.8886236,-0.3736572
3.159592,0,-0.08543195,1.466128,1.400504,13.69977,1.044787,-0.4148865
3.17395,0,-0.08529466,1.465824,1.416468,13.73048,1.190539,-0.4451904
3.187027,0,-0.08513159,1.465399,1.432531,13.77846,1.324215,-0.4417419
3.201416,0,-0.08496781,1.464926,1.448794,13.83223,1.42518,-0.3835144
3.215485,0,-0.08457689,1.464131,1.465186,13.88564,1.500102,-0.2742615
3.228745,0,-0.08404256,1.463166,1.481749,13.98192,1.551158,-0.1510925
3.243195,0,-0.08326718,1.462349,1.498408,14.09318,1.579486,0.006586351
3.257385,0,-0.08240341,1.46148,1.51489,14.16549,1.588749,0.1135167
3.270538,0,-0.08138187,1.460364,1.531362,14.13995,1.603269,0.1123357
3.284973,0,-0.08039455,1.459192,1.548031,13.98424,1.668034,0.07051287
3.299042,0,-0.07932071,1.457995,1.564763,13.71062,1.689329,0.04372751
3.313019,0,-0.07805513,1.456759,1.581442,13.44515,1.58639,0.1873572
3.326248,0,-0.07639574,1.455323,1.597728,13.2049,1.317874,0.4150079
3.340759,0,-0.07472374,1.45373,1.613575,13.1224,0.9689652,0.642956
3.354797,0,-0.07295109,1.452878,1.629445,13.22979,0.6241117,0.8523763
3.367905,0,-0.07131808,1.453854,1.64587,13.56494,0.3338407,1.019122
3.382645,0,-0.0699587,1.45832,1.663387,13.95805,0.05447361,1.131614
3.396576,0,-0.06918454,1.458262,1.679579,13.04679,-0.1720886,0.8661081
3.410202,0,-0.06840836,1.45733,1.694191,12.85717,-0.2581177,0.5972595
3.424911,0,-0.0679469,1.456415,1.708775,12.58032,-0.05517578,0.2063368
3.438492,0,-0.06788351,1.457897,1.723491,12.67039,0.2444223,-0.2191772
3.452133,0,-0.06800598,1.461179,1.738458,13.15274,0.5627106,-0.5825195
3.465347,0,-0.06834064,1.463562,1.753169,13.48732,0.7540596,-0.7451782
3.479904,0,-0.06876408,1.465254,1.767367,13.74152,0.8319286,-0.7233582
3.493973,0,-0.06937446,1.467311,1.782068,13.67309,0.8581244,-0.3971252
3.507431,0,-0.070177,1.469877,1.796967,13.37268,0.8357485,-0.05838013
3.521729,0,-0.07121269,1.472264,1.811792,13.04913,0.8147467,0.2383061
3.535843,0,-0.07246943,1.474313,1.82648,12.77069,0.8082032,0.5918643
3.549683,0,-0.07364808,1.475962,1.84139,12.46913,0.7724942,0.8995003
3.56337,0,-0.07478125,1.477303,1.856495,12.19192,0.7245102,1.198186
3.577454,0,-0.07600428,1.478138,1.871755,11.89076,0.6275464,1.494019
3.590668,0,-0.07755318,1.478658,1.886965,11.64212,0.4985697,1.788769
3.605194,0,-0.07920341,1.478695,1.902333,11.43037,0.3498896,2.049336
3.619263,0,-0.08076777,1.47833,1.917934,11.30529,0.1835989,2.29059
3.632965,0,-0.08231805,1.477479,1.933726,11.2618,0.02577284,2.488264
3.646378,0,-0.08393449,1.476114,1.949731,11.34532,-0.1166077,2.604559
3.66095,0,-0.08553876,1.474292,1.965722,11.49695,-0.271759,2.663771
3.675018,0,-0.08723192,1.472072,1.981794,11.71724,-0.408844,2.638497
3.688141,0,-0.08915804,1.46975,1.997486,11.91946,-0.5289307,2.550839
3.702606,0,-0.09122227,1.467205,2.013156,12.02993,-0.6437988,2.420566
3.716888,0,-0.09348516,1.464736,2.029095,12.03831,-0.7463989,2.285246
