time,phase,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,miss,out
1.570526,0,0.02270519,1.473475,0.9436123,9.920974,-1.515991,-1.25235,-0.02606052,-0.1722897,0.9847015,0,0
1.586929,0,0.02227375,1.472566,0.9689501,9.980323,-1.658325,-0.9576111,-0.02850151,-0.17331,0.9844548,0,0
1.603348,0,0.02188058,1.471777,0.9820202,9.959193,-1.675995,-0.8129272,-0.02880662,-0.1729467,0.9845098,0,0
1.619324,0,0.02103774,1.469667,1.008147,9.847263,-1.724518,-0.5707092,-0.0296504,-0.1710223,0.9848209,0,0
1.636169,0,0.02046144,1.467835,1.021528,9.719045,-1.685211,-0.4220276,-0.02898597,-0.168817,0.9852211,0,0
1.652298,0,0.01932866,1.464349,1.048366,9.538361,-1.650055,-0.08132935,-0.02839682,-0.1657079,0.9857659,0,0
1.6698,0,0.01864186,1.462493,1.062212,9.432722,-1.606934,0.1091807,-0.0276635,-0.1638894,0.9860908,0,0
1.68576,0,0.01774549,1.460759,1.076267,9.346803,-1.566498,0.2996189,-0.02697441,-0.1624099,0.9863546,0,0
1.70195,0,0.01585391,1.457124,1.104381,9.173018,-1.539703,0.6575169,-0.02652629,-0.1594163,0.986855,0,0
1.718002,0,0.01468826,1.454927,1.118517,9.046779,-1.546173,0.7915903,-0.0266468,-0.1572408,0.9872007,0,0
1.733841,0,0.01215476,1.451196,1.14687,8.921023,-1.554352,1.034103,-0.02679716,-0.1550729,0.9875395,0,0
1.750946,0,0.01050149,1.449828,1.161207,8.853727,-1.548218,1.135874,-0.02669637,-0.1539125,0.9877238,0,0
1.766373,0,0.007196572,1.447227,1.190256,8.529875,-1.573486,1.313499,-0.02715554,-0.1483251,0.9885657,0,0
1.782623,0,0.00529132,1.446697,1.204978,8.276523,-1.578644,1.232189,-0.02726205,-0.1439507,0.9892093,0,0
1.79866,0,0.001242787,1.44646,1.23409,8.079963,-1.463257,0.9823927,-0.02528251,-0.140555,0.98975,0,0
1.815247,0,-0.001076858,1.446945,1.248086,8.215523,-1.292358,0.5661262,-0.02232275,-0.1428971,0.9894858,0,0
1.832275,0,-0.005183823,1.448,1.276021,8.604012,-1.096375,0.3097166,-0.01891875,-0.1496046,0.9885649,0,0
1.848373,0,-0.007150576,1.450789,1.289889,9.107224,-1.039734,0.2482484,-0.01791677,-0.1582826,0.9872313,0,0
1.864182,0,-0.008937982,1.455124,1.304502,9.313964,-1.003052,0.2438259,-0.01727476,-0.1618443,0.9866651,0,0
1.880142,0,-0.01273946,1.458995,1.333167,8.444776,-0.8372192,-0.03924561,-0.01445342,-0.146856,0.9890523,0,0
1.896317,0,-0.01423981,1.458611,1.347128,7.496795,-0.7039185,0.02091523,-0.01218054,-0.1304707,0.9913774,0,0
1.912247,0,-0.01706902,1.460984,1.374889,6.607737,-0.6272278,0.4677342,-0.01087436,-0.1150713,0.9932977,0,0
1.929016,0,-0.01793462,1.46413,1.388813,6.661843,-0.7932739,1.004167,-0.01375122,-0.1160093,0.9931529,0,0
1.945374,0,-0.02010231,1.469384,1.416784,6.685159,-0.9011536,1.475885,-0.01562053,-0.1164135,0.993078,0,0
1.961334,0,-0.02097695,1.470225,1.430436,6.768284,-0.8259888,1.637092,-0.01431543,-0.1178543,0.9929277,0,0
