time,phase,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,miss,out
68.27747,0,-0.04566705,1.631508,-0.0575701,1.92015,0.4105657,2.359783'0.007161638,-0.03350666,0.9994128'0,0
68.27747,0,-0.04558568,1.631644,-0.05751151,1.894551,0.3932087,2.328283'0.006858981,-0.03306013,0.9994298'0,0
68.27747,0,-0.04560339,1.631833,-0.05750373,1.826875,0.3280946,2.323785'0.005723389,-0.03187957,0.9994754'0,0
68.27747,0,-0.0457169,1.632071,-0.05747533,1.728065,0.2085271,2.323835'0.003637821,-0.03015585,0.9995386'0,0
68.27747,0,-0.04573677,1.632259,-0.0574483,1.652529,0.1408613,2.355757'0.002457468,-0.02883807,0.9995811'0,0
68.27747,0,-0.04575695,1.632598,-0.05739802,1.441579,0.07490992,2.349961'0.001307011,-0.02515764,0.9996827'0,0
68.27747,0,-0.04574536,1.632732,-0.05739024,1.380014,0.05753627,2.391819'0.001003906,-0.02408346,0.9997094'0,0
68.27747,0,-0.04572861,1.6327,-0.05738014,1.344572,0.07175633,2.364225'0.001252039,-0.02346505,0.9997239'0,0
68.27747,0,-0.04572653,1.632846,-0.05741996,1.278157,0.05414873,2.364491'0.0009448383,-0.0223062,0.9997507'0,0
68.27747,0,-0.04572694,1.633035,-0.05733255,1.137309,0.0111752,2.361822'0.0001950057,-0.01984848,0.999803'0,0
68.27747,0,-0.04570084,1.633136,-0.05734894,1.045492,-0.0118103,2.386161'-0.0002061501,-0.01824627,0.9998335'0,0
68.27747,0,-0.04565052,1.633037,-0.05754173,1.118246,-0.0329895,2.352033'-0.000575748,-0.01951584,0.9998094'0,0
68.27747,0,-0.0455576,1.632901,-0.05765641,1.158013,-0.04052734,2.353171'-0.0007071756,-0.02020977,0.9997955'0,0
68.27747,0,-0.04549387,1.632957,-0.05759504,1.049869,-0.0680542,2.378585'-0.001187617,-0.01832264,0.9998314'0,0
68.27747,0,-0.04540997,1.632884,-0.05749786,1.111335,-0.07595825,2.34933'-0.001325347,-0.01939523,0.999811'0,0
68.27747,0,-0.04530542,1.632929,-0.05737466,1.108363,-0.02972412,2.311099'-0.0005185186,-0.01934337,0.9998128'0,0
68.27747,0,-0.04520562,1.632971,-0.05732641,1.07142,-0.02383423,2.318014'-0.0004157077,-0.01869871,0.9998251'0,0
68.27747,0,-0.04504555,1.632834,-0.05744582,1.133163,0.003109648,2.33079'5.426299E-05,-0.01977614,0.9998044'0,0
68.27747,0,-0.04488683,1.632747,-0.05760208,1.206092,0.06945646,2.262741'0.001211975,-0.02104872,0.9997777'0,0
68.27747,0,-0.04471017,1.632872,-0.05745354,1.053404,0.08461174,2.330892'0.001476503,-0.01838433,0.9998299'0,0
68.27747,0,-0.04466956,1.632861,-0.05739623,1.132221,0.0762559,2.321114'0.001330656,-0.01975969,0.9998039'0,0
68.27747,0,-0.04451414,1.632857,-0.0573498,1.141131,0.1145488,2.321256'0.001998857,-0.01991518,0.9997997'0,0
68.27747,0,-0.04434802,1.632772,-0.05741259,1.105062,0.1269981,2.346145'0.002216121,-0.01928577,0.9998115'0,0
68.27747,0,-0.04413355,1.632629,-0.05757374,1.156441,0.2337686,2.298608'0.00407919,-0.02018234,0.999788'0,0
68.27747,0,-0.04400832,1.63273,-0.05753374,1.155621,0.234053,2.305875'0.004084154,-0.02016802,0.9997883'0,0
68.27747,0,-0.04404175,1.632608,-0.057616,1.25333,0.1960336,2.323743'0.003420607,-0.02187298,0.9997549'0,0
68.27747,0,-0.04405179,1.632478,-0.05756724,1.30276,0.1559874,2.311413'0.002721787,-0.02273549,0.9997378'0,0
68.27747,0,-0.04407642,1.632303,-0.05743435,1.386609,0.1416692,2.258282'0.002471868,-0.02419852,0.9997041'0,0
68.27747,0,-0.04404284,1.6322,-0.05735964,1.364431,0.1543821,2.234893'0.002693709,-0.02381156,0.9997128'0,0
68.27747,0,-0.04400426,1.632179,-0.05726627,1.334503,0.1567405,2.233845'0.002734892,-0.02328936,0.999725'0,0
68.27747,0,-0.0440763,1.632219,-0.05731866,1.35219,0.1048941,2.264217'0.001830237,-0.02359797,0.9997199'0,0
68.27747,0,-0.04414755,1.632375,-0.05739957,1.289742,0.04104826,2.276745'0.0007162458,-0.02250835,0.9997464'0,0
68.27747,0,-0.04420648,1.632532,-0.05740657,1.205509,-0.004401424,2.291801'-7.680233E-05,-0.02103855,0.9997787'0,0
68.27747,0,-0.04426016,1.632629,-0.05738533,1.222414,-0.01043701,2.295868'-0.0001819946,-0.02133354,0.9997724'0,0
68.27747,0,-0.04426644,1.632578,-0.05737492,1.241027,0.001464549,2.303967'2.55552E-05,-0.02165832,0.9997655'0,0
68.27747,0,-0.04422947,1.632455,-0.05738807,1.280731,0.04404773,2.312772'0.0007685857,-0.02235111,0.9997499'0,0
68.27747,0,-0.04421887,1.632284,-0.05742237,1.337455,0.1142901,2.328887'0.001994194,-0.02334087,0.9997256'0,0
68.27747,0,-0.04419696,1.632184,-0.05738649,1.381429,0.1566249,2.34535'0.002732823,-0.02410816,0.9997056'0,0
68.27747,0,-0.04419881,1.63214,-0.0573093,1.395624,0.1749554,2.339777'0.003052637,-0.02435583,0.9996987'0,0
68.27747,0,-0.04423986,1.632093,-0.0572179,1.388205,0.1796827,2.33021'0.00313513,-0.02422637,0.9997016'0,0
68.27747,0,-0.0442832,1.631976,-0.0571709,1.413937,0.1757394,2.333465'0.003066292,-0.02467535,0.9996908'0,0
68.27747,0,-0.04434878,1.631871,-0.05719092,1.447634,0.162021,2.327752'0.002826893,-0.02526329,0.9996768'0,0
68.27747,0,-0.04439545,1.631865,-0.05716619,1.459743,0.1731489,2.341761'0.003021034,-0.02547456,0.9996709'0,0
68.27747,0,-0.04443152,1.631871,-0.0571419,1.456123,0.1663536,2.360946'0.002902477,-0.02541141,0.9996729'0,0
68.27747,0,-0.04446017,1.631876,-0.05713436,1.459425,0.1628996,2.34271'0.002842208,-0.02546902,0.9996716'0,0
68.27747,0,-0.04450507,1.631877,-0.05712846,1.471472,0.1820556,2.328331'0.003176417,-0.0256792,0.9996652'0,0
