time,realtime,posX,posY,posZ,rotX,rotY,rotZ,headPosX,headPosY,headPosZ,LhandPosX,LhandPosY,LhandPosZ,LhandRotX,LhandRotY,LhandRotZ,RhandPosX,RhandPosY,RhandPosZ,RhandRotX,RhandRotY,RhandRotZ,,,,
1.205373,6.38E+13,0.107128,-0.003175488,0.005634051,-2.102631,0.8334554,-1.504578,-0.7441992,1.552325,2.334299,-1.242368,1.212001,2.855854,15.97196,-97.98361,-6.909637,-0.2560203,1.231705,1.82232,11.17734,86.64196,9.796011,,0.0002215,-0.000119593,0.000406403
1.225373,6.38E+13,0.1069065,-0.003055895,0.005227648,-2.013763,0.7313926,-1.401611,-0.7446432,1.552444,2.334168,-1.243638,1.211783,2.854414,15.96591,-98.10297,-6.706909,-0.2556175,1.23178,1.822937,11.13472,86.56585,9.52656,,0,0,0
1.245374,6.38E+13,0.1069065,-0.003055895,0.005227648,-2.013763,0.7313926,-1.401611,-0.7446432,1.552444,2.334168,-1.243638,1.211783,2.854414,15.96591,-98.10297,-6.706909,-0.2556175,1.23178,1.822937,11.13472,86.56585,9.52656,,0.0003023,0.000148237,0.000528531
1.265372,6.38E+13,0.1066042,-0.003204132,0.004699117,-1.666718,0.5727443,-1.383148,-0.7452307,1.552296,2.334008,-1.244288,1.210978,2.853278,16.11427,-97.73245,-6.651642,-0.2552583,1.23159,1.824064,11.24006,86.25645,9.253667,,0.0004509,0.000152987,0.000919056
1.285373,6.38E+13,0.1061533,-0.003357119,0.003780061,-1.319702,0.4261646,-1.497711,-0.7461994,1.552143,2.333677,-1.246467,1.209438,2.851675,16.2831,-97.84988,-7.34787,-0.2554941,1.231503,1.824853,11.27221,86.24844,9.362344,,0,0,0
1.305373,6.38E+13,0.1061533,-0.003357119,0.003780061,-1.319702,0.4261646,-1.497711,-0.7461994,1.552143,2.333677,-1.246467,1.209438,2.851675,16.2831,-97.84988,-7.34787,-0.2554941,1.231503,1.824853,11.27221,86.24844,9.362344,,0.0004149,0.000140738,0.00045436
1.325374,6.38E+13,0.1057384,-0.003497857,0.003325701,-1.259247,0.2978967,-1.517334,-0.746814,1.552002,2.333649,-1.249448,1.208543,2.850316,16.30701,-98.70721,-8.213867,-0.2553678,1.231116,1.825641,11.34558,86.0958,9.396492,,0.0003705,-0.000152214,0.000330369
1.345372,6.38E+13,0.1053679,-0.003345643,0.002995332,-1.53598,0.1887009,-1.480194,-0.7473096,1.552155,2.333678,-1.252083,1.208868,2.849016,16.55162,-98.99963,-7.488953,-0.2553766,1.230907,1.826179,11.41262,85.99654,9.438249,,0.0002042,-7.09E-06,0.000447286
1.365373,6.38E+13,0.1051637,-0.003338553,0.002548046,-1.739532,0.1420781,-1.396942,-0.7477702,1.552161,2.333506,-1.254301,1.209544,2.847975,16.77221,-99.13937,-6.690186,-0.2555093,1.230847,1.826484,11.41398,85.99577,9.439424,,0,0,0
1.385373,6.38E+13,0.1051637,-0.003338553,0.002548046,-1.739532,0.1420781,-1.396942,-0.7477702,1.552161,2.333506,-1.254301,1.209544,2.847975,16.77221,-99.13937,-6.690186,-0.2555093,1.230847,1.826484,11.41398,85.99577,9.439424,,0.0003845,0.000207936,0.000508563
1.405374,6.38E+13,0.1047792,-0.003546489,0.002039483,-1.788086,0.1109582,-1.501831,-0.7484018,1.551954,2.333418,-1.255731,1.20984,2.847412,16.7552,-98.91888,-6.362091,-0.2556251,1.230574,1.826816,11.37829,86.0015,9.658838,,0.0003177,0.000106748,0.000453039
1.425372,6.38E+13,0.1044615,-0.003653237,0.001586444,-1.756256,0.122682,-1.571045,-0.7489467,1.551847,2.333322,-1.255647,1.209766,2.847677,16.6361,-99.03223,-7.096954,-0.2559422,1.230602,1.827002,11.37418,86.00114,9.651359,,0,0,0
1.445373,6.38E+13,0.1044615,-0.003653237,0.001586444,-1.756256,0.122682,-1.571045,-0.7489467,1.551847,2.333322,-1.255647,1.209766,2.847677,16.6361,-99.03223,-7.096954,-0.2559422,1.230602,1.827002,11.37418,86.00114,9.651359,,0.0002135,0.000220022,0.000507649
1.465373,6.38E+13,0.104248,-0.003873259,0.001078795,-1.679657,0.1726557,-1.581635,-0.7494567,1.551627,2.333114,-1.25783,1.210024,2.847368,16.27255,-99.38898,-7.758972,-0.2565706,1.230415,1.827309,11.42588,85.90631,9.523181,,0.000167,-1.5942E-05,0.000441174
1.485373,6.38E+13,0.104081,-0.003857317,0.000637622,-1.737762,0.2663388,-1.541718,-0.7498868,1.551643,2.332921,-1.257103,1.210123,2.847307,16.40839,-99.14111,-7.233063,-0.2569755,1.230299,1.827472,11.451,85.88356,9.486598,,0.0001045,1.0842E-05,0.000441829
1.505372,6.38E+13,0.1039765,-0.003868159,0.000195793,-1.78775,0.3423876,-1.556427,-0.750273,1.551632,2.332682,-1.257966,1.2101,2.847164,16.45566,-99.07184,-7.095032,-0.2575939,1.229922,1.827532,11.53472,85.94353,9.501266,,0,0,0
1.525373,6.38E+13,0.1039765,-0.003868159,0.000195793,-1.78775,0.3423876,-1.556427,-0.750273,1.551632,2.332682,-1.257966,1.2101,2.847164,16.45566,-99.07184,-7.095032,-0.2575939,1.229922,1.827532,11.53472,85.94353,9.501266,,0.0001861,-0.00016892,0.000360168
1.545373,6.38E+13,0.1037904,-0.003699239,-0.000164376,-1.80603,0.3585962,-1.529846,-0.7506593,1.551801,2.332559,-1.258878,1.210216,2.846812,16.31833,-99.35477,-7.367493,-0.258104,1.229192,1.827483,11.67555,85.93349,9.622374,,0.0002374,-7.598E-06,0.000423005
1.565373,6.38E+13,0.103553,-0.003691641,-0.00058738,-1.810577,0.3515969,-1.558624,-0.7511263,1.551808,2.332428,-1.258601,1.210184,2.846588,16.42956,-99.25372,-7.23584,-0.2586767,1.227908,1.827337,11.86897,85.98132,10.13544,,0,0,0
1.585372,6.38E+13,0.103553,-0.003691641,-0.00058738,-1.810577,0.3515969,-1.558624,-0.7511263,1.551808,2.332428,-1.258601,1.210184,2.846588,16.42956,-99.25372,-7.23584,-0.2586767,1.227908,1.827337,11.86897,85.98132,10.13544,,0.0002244,0.000194701,0.000529688
1.605372,6.38E+13,0.1033286,-0.003886342,-0.001117068,-1.757355,0.3155885,-1.533936,-0.7516595,1.551614,2.332212,-1.258562,1.209928,2.846468,16.49881,-99.15027,-7.283173,-0.2590113,1.227595,1.82739,11.91572,85.91174,10.12533,,0.0002438,-0.000038466,0.000687036
1.625373,6.38E+13,0.1030848,-0.003847876,-0.001804104,-1.693176,0.254306,-1.539551,-0.7523177,1.551652,2.331898,-1.258231,1.209772,2.846392,16.38156,-99.18323,-7.559723,-0.2593244,1.22687,1.827346,12.05226,85.81655,10.32845,,8.44E-05,-0.000204677,0.000532402
1.645373,6.38E+13,0.1030004,-0.003643199,-0.002336506,-1.777344,0.1974978,-1.504913,-0.7527539,1.551857,2.331582,-1.257726,1.209686,2.84625,16.44811,-99.05078,-7.472778,-0.2596317,1.226278,1.826978,12.04656,85.82529,10.76795,,0,0,0
1.665374,6.38E+13,0.1030004,-0.003643199,-0.002336506,-1.777344,0.1974978,-1.504913,-0.7527539,1.551857,2.331582,-1.257726,1.209686,2.84625,16.44811,-99.05078,-7.472778,-0.2596317,1.226278,1.826978,12.04656,85.82529,10.76795,,1.38E-05,-0.000215347,0.000726411
1.685372,6.38E+13,0.1029866,-0.003427852,-0.003062917,-1.880096,0.097652,-1.41806,-0.7532773,1.552072,2.331078,-1.257261,1.209371,2.846241,16.4945,-98.92371,-7.460327,-0.2598065,1.226534,1.826787,12.02948,85.88672,10.53228,,1.66E-05,-0.000129084,0.000604844
1.705373,6.38E+13,0.10297,-0.003298768,-0.003667761,-1.992981,0.03116336,-1.359528,-0.7537167,1.552201,2.330662,-1.25672,1.20909,2.846154,16.5113,-98.82306,-7.473663,-0.2603297,1.226128,1.826082,12.14453,85.88453,10.39589,,0,0,0
1.725373,6.38E+13,0.10297,-0.003298768,-0.003667761,-1.992981,0.03116336,-1.359528,-0.7537167,1.552201,2.330662,-1.25672,1.20909,2.846154,16.5113,-98.82306,-7.473663,-0.2603297,1.226128,1.826082,12.14453,85.88453,10.39589,,-7.59E-05,-0.00067589,0.000387887
1.745374,6.38E+13,0.1030459,-0.002622878,-0.004055648,-2.214294,-0.05593872,-1.338654,-0.7539373,1.552877,2.330334,-1.256202,1.208947,2.845945,16.50551,-98.81396,-7.544006,-0.2606176,1.22589,1.825743,12.18656,85.87491,10.42892,,2.67E-05,-0.000262783,0.000403118
1.765372,6.38E+13,0.1030192,-0.002360095,-0.004458766,-2.44809,-0.1607666,-1.313599,-0.7542412,1.55314,2.330068,-1.255732,1.208741,2.845722,16.55258,-98.78973,-7.536102,-0.2609965,1.22536,1.825035,12.23542,85.91014,10.54427,,-0.0001427,-0.000408368,0.000462
1.785373,6.38E+13,0.1031619,-0.001951727,-0.004920766,-2.533569,-0.3134766,-1.253632,-0.754467,1.553548,2.32964,-1.255272,1.208458,2.845508,16.58802,-98.66882,-7.501129,-0.2613416,1.224791,1.824558,12.32646,85.9423,10.59345,,0,0,0
1.805373,6.38E+13,0.1031619,-0.001951727,-0.004920766,-2.533569,-0.3134766,-1.253632,-0.754467,1.553548,2.32964,-1.255272,1.208458,2.845508,16.58802,-98.66882,-7.501129,-0.2613416,1.224791,1.824558,12.32646,85.9423,10.59345,,7.7E-06,-0.00035089,0.000386122
1.825374,6.38E+13,0.1031542,-0.001600837,-0.005306888,-2.513702,-0.4394531,-1.186554,-0.7547455,1.553899,2.329372,-1.254861,1.208251,2.845194,16.58118,-98.70731,-7.735809,-0.2616295,1.223768,1.824007,12.508,85.87514,10.59496,,-6.29E-05,-0.000178144,0.000343524
